geoid,school_id,school,sat_g11,drive_min,drive_mi
17031010100,609678,JONES HS,1276.0,23.9,11.87
17031010100,609680,PAYTON HS,1334.0,19.5,9.52
17031010100,609693,WESTINGHOUSE HS,1005.0,23.2,11.46
17031010100,609694,HANCOCK HS,1078.0,35.3,17.62
17031010100,609720,LANE TECH HS,1256.0,12.4,6.16
17031010100,609726,BROOKS HS,1111.0,41.0,24.6
17031010100,609749,NORTHSIDE PREP HS,1303.0,9.5,4.59
17031010100,609751,KING HS,939.0,31.4,16.98
17031010100,609755,YOUNG HS,1297.0,21.5,10.29
17031010100,610391,LINDBLOM HS,1046.0,35.5,20.24
17031010100,610547,SOUTH SHORE INTL HS,901.0,38.1,21.89
17031010201,609678,JONES HS,1276.0,23.3,11.85
17031010201,609680,PAYTON HS,1334.0,18.6,9.16
17031010201,609693,WESTINGHOUSE HS,1005.0,22.2,10.25
17031010201,609694,HANCOCK HS,1078.0,34.4,17.25
17031010201,609720,LANE TECH HS,1256.0,10.9,5.37
17031010201,609726,BROOKS HS,1111.0,40.1,24.23
17031010201,609749,NORTHSIDE PREP HS,1303.0,8.0,3.81
17031010201,609751,KING HS,939.0,30.4,16.61
17031010201,609755,YOUNG HS,1297.0,20.6,9.92
17031010201,610391,LINDBLOM HS,1046.0,34.6,19.87
17031010201,610547,SOUTH SHORE INTL HS,901.0,37.1,21.52
17031010202,609678,JONES HS,1276.0,23.7,11.74
17031010202,609680,PAYTON HS,1334.0,18.9,9.04
17031010202,609693,WESTINGHOUSE HS,1005.0,22.6,10.98
17031010202,609694,HANCOCK HS,1078.0,34.8,17.13
17031010202,609720,LANE TECH HS,1256.0,11.9,5.83
17031010202,609726,BROOKS HS,1111.0,40.4,24.12
17031010202,609749,NORTHSIDE PREP HS,1303.0,9.0,4.26
17031010202,609751,KING HS,939.0,30.8,16.49
17031010202,609755,YOUNG HS,1297.0,20.9,9.8
17031010202,610391,LINDBLOM HS,1046.0,35.0,19.76
17031010202,610547,SOUTH SHORE INTL HS,901.0,37.5,21.41
17031010300,609678,JONES HS,1276.0,22.8,11.42
17031010300,609680,PAYTON HS,1334.0,18.7,9.11
17031010300,609693,WESTINGHOUSE HS,1005.0,23.3,11.43
17031010300,609694,HANCOCK HS,1078.0,35.5,17.59
17031010300,609720,LANE TECH HS,1256.0,12.8,6.36
17031010300,609726,BROOKS HS,1111.0,41.1,24.57
17031010300,609749,NORTHSIDE PREP HS,1303.0,9.9,4.79
17031010300,609751,KING HS,939.0,30.9,15.68
17031010300,609755,YOUNG HS,1297.0,21.6,10.26
17031010300,610391,LINDBLOM HS,1046.0,35.7,20.21
17031010300,610547,SOUTH SHORE INTL HS,901.0,38.2,21.86
17031010400,609678,JONES HS,1276.0,22.1,10.74
17031010400,609680,PAYTON HS,1334.0,17.9,8.44
17031010400,609693,WESTINGHOUSE HS,1005.0,22.6,10.76
17031010400,609694,HANCOCK HS,1078.0,34.7,16.92
17031010400,609720,LANE TECH HS,1256.0,12.6,5.87
17031010400,609726,BROOKS HS,1111.0,40.4,23.9
17031010400,609749,NORTHSIDE PREP HS,1303.0,9.9,4.31
17031010400,609751,KING HS,939.0,30.2,15.0
17031010400,609755,YOUNG HS,1297.0,20.9,9.59
17031010400,610391,LINDBLOM HS,1046.0,34.9,19.54
17031010400,610547,SOUTH SHORE INTL HS,901.0,37.5,21.19
17031010501,609678,JONES HS,1276.0,23.0,11.28
17031010501,609680,PAYTON HS,1334.0,18.8,8.9
17031010501,609693,WESTINGHOUSE HS,1005.0,22.5,10.84
17031010501,609694,HANCOCK HS,1078.0,34.7,17.0
17031010501,609720,LANE TECH HS,1256.0,12.6,5.95
17031010501,609726,BROOKS HS,1111.0,40.3,23.98
17031010501,609749,NORTHSIDE PREP HS,1303.0,10.0,4.39
17031010501,609751,KING HS,939.0,30.7,16.36
17031010501,609755,YOUNG HS,1297.0,20.8,9.67
17031010501,610391,LINDBLOM HS,1046.0,34.9,19.62
17031010501,610547,SOUTH SHORE INTL HS,901.0,37.4,21.27
17031010502,609678,JONES HS,1276.0,21.3,10.64
17031010502,609680,PAYTON HS,1334.0,17.1,8.34
17031010502,609693,WESTINGHOUSE HS,1005.0,21.8,10.66
17031010502,609694,HANCOCK HS,1078.0,34.0,16.81
17031010502,609720,LANE TECH HS,1256.0,11.9,5.77
17031010502,609726,BROOKS HS,1111.0,39.6,23.8
17031010502,609749,NORTHSIDE PREP HS,1303.0,9.1,4.21
17031010502,609751,KING HS,939.0,29.4,14.9
17031010502,609755,YOUNG HS,1297.0,20.1,9.48
17031010502,610391,LINDBLOM HS,1046.0,34.1,19.44
17031010502,610547,SOUTH SHORE INTL HS,901.0,36.7,21.09
17031010503,609678,JONES HS,1276.0,20.5,10.35
17031010503,609680,PAYTON HS,1334.0,16.3,8.04
17031010503,609693,WESTINGHOUSE HS,1005.0,20.5,10.11
17031010503,609694,HANCOCK HS,1078.0,32.7,16.26
