geoid,school_id,school,sat_g11,transit_min_median
17031010100,609726,BROOKS HS,1111.0,95.9
17031010100,609749,NORTHSIDE PREP HS,1303.0,51.6
17031010100,609680,PAYTON HS,1334.0,51.4
17031010100,609751,KING HS,939.0,88.5
17031010100,609694,HANCOCK HS,1078.0,88.2
17031010100,609720,LANE TECH HS,1256.0,50.3
17031010100,610547,SOUTH SHORE INTL HS,901.0,80.5
17031010100,609693,WESTINGHOUSE HS,1005.0,78.0
17031010100,610391,LINDBLOM HS,1046.0,92.7
17031010100,609678,JONES HS,1276.0,56.3
17031010100,609755,YOUNG HS,1297.0,71.1
17031010201,609680,PAYTON HS,1334.0,56.9
17031010201,609749,NORTHSIDE PREP HS,1303.0,42.0
17031010201,609694,HANCOCK HS,1078.0,91.9
17031010201,609726,BROOKS HS,1111.0,100.8
17031010201,609720,LANE TECH HS,1256.0,49.1
17031010201,609751,KING HS,939.0,91.8
17031010201,609693,WESTINGHOUSE HS,1005.0,81.5
17031010201,609678,JONES HS,1276.0,61.2
17031010201,610547,SOUTH SHORE INTL HS,901.0,85.9
17031010201,610391,LINDBLOM HS,1046.0,97.4
17031010201,609755,YOUNG HS,1297.0,76.9
17031010202,609680,PAYTON HS,1334.0,47.5
17031010202,609694,HANCOCK HS,1078.0,84.3
17031010202,609720,LANE TECH HS,1256.0,43.7
17031010202,609726,BROOKS HS,1111.0,89.3
17031010202,609749,NORTHSIDE PREP HS,1303.0,44.4
17031010202,609751,KING HS,939.0,81.6
17031010202,610547,SOUTH SHORE INTL HS,901.0,74.3
17031010202,609693,WESTINGHOUSE HS,1005.0,74.1
17031010202,609678,JONES HS,1276.0,49.6
17031010202,610391,LINDBLOM HS,1046.0,86.1
17031010202,609755,YOUNG HS,1297.0,67.2
17031010300,609680,PAYTON HS,1334.0,45.5
17031010300,609726,BROOKS HS,1111.0,87.2
17031010300,609749,NORTHSIDE PREP HS,1303.0,46.8
17031010300,609694,HANCOCK HS,1078.0,85.9
17031010300,609720,LANE TECH HS,1256.0,41.6
17031010300,609751,KING HS,939.0,79.5
17031010300,610547,SOUTH SHORE INTL HS,901.0,72.3
17031010300,609678,JONES HS,1276.0,47.6
17031010300,610391,LINDBLOM HS,1046.0,83.8
17031010300,609693,WESTINGHOUSE HS,1005.0,78.3
17031010300,609755,YOUNG HS,1297.0,67.8
17031010400,609680,PAYTON HS,1334.0,51.3
17031010400,609678,JONES HS,1276.0,53.4
17031010400,609749,NORTHSIDE PREP HS,1303.0,42.6
17031010400,609720,LANE TECH HS,1256.0,47.5
17031010400,609726,BROOKS HS,1111.0,93.0
17031010400,609694,HANCOCK HS,1078.0,90.7
17031010400,609751,KING HS,939.0,85.7
17031010400,610547,SOUTH SHORE INTL HS,901.0,78.1
17031010400,610391,LINDBLOM HS,1046.0,89.8
17031010400,609693,WESTINGHOUSE HS,1005.0,82.6
17031010400,609755,YOUNG HS,1297.0,71.7
17031010501,609680,PAYTON HS,1334.0,45.8
17031010501,609678,JONES HS,1276.0,47.9
17031010501,609749,NORTHSIDE PREP HS,1303.0,38.6
17031010501,609694,HANCOCK HS,1078.0,86.2
17031010501,609726,BROOKS HS,1111.0,87.5
17031010501,609720,LANE TECH HS,1256.0,41.9
17031010501,609751,KING HS,939.0,79.8
17031010501,610547,SOUTH SHORE INTL HS,901.0,72.5
17031010501,609693,WESTINGHOUSE HS,1005.0,77.5
17031010501,610391,LINDBLOM HS,1046.0,84.3
17031010501,609755,YOUNG HS,1297.0,67.0
17031010502,609680,PAYTON HS,1334.0,47.2
17031010502,609694,HANCOCK HS,1078.0,86.5
17031010502,609678,JONES HS,1276.0,49.2
17031010502,609726,BROOKS HS,1111.0,88.9
17031010502,609749,NORTHSIDE PREP HS,1303.0,43.9
17031010502,609720,LANE TECH HS,1256.0,43.3
17031010502,609751,KING HS,939.0,81.2
17031010502,610547,SOUTH SHORE INTL HS,901.0,74.0
17031010502,610391,LINDBLOM HS,1046.0,85.7
17031010502,609693,WESTINGHOUSE HS,1005.0,81.4
17031010502,609755,YOUNG HS,1297.0,68.4
17031010503,609680,PAYTON HS,1334.0,43.7
17031010503,609694,HANCOCK HS,1078.0,84.2
17031010503,609678,JONES HS,1276.0,45.8
17031010503,609749,NORTHSIDE PREP HS,1303.0,42.1
17031010503,609720,LANE TECH HS,1256.0,39.8
17031010503,609726,BROOKS HS,1111.0,85.4
17031010503,609751,KING HS,939.0,77.2
17031010503,610547,SOUTH SHORE INTL HS,901.0,70.5
17031010503,610391,LINDBLOM HS,1046.0,82.0
17031010503,609693,WESTINGHOUSE HS,1005.0,78.0
17031010503,609755,YOUNG HS,1297.0,65.0
17031010600,609680,PAYTON HS,1334.0,49.2
17031010600,609694,HANCOCK HS,1078.0,88.5
17031010600,609678,JONES HS,1276.0,51.3
17031010600,609720,LANE TECH HS,1256.0,45.3
17031010600,609749,NORTHSIDE PREP HS,1303.0,39.8
17031010600,609726,BROOKS HS,1111.0,90.9
17031010600,609751,KING HS,939.0,83.2
17031010600,610547,SOUTH SHORE INTL HS,901.0,76.0
17031010600,609693,WESTINGHOUSE HS,1005.0,81.4
17031010600,610391,LINDBLOM HS,1046.0,87.7
17031010600,609755,YOUNG HS,1297.0,70.4
17031010701,609680,PAYTON HS,1334.0,54.4
17031010701,609749,NORTHSIDE PREP HS,1303.0,32.7
17031010701,609720,LANE TECH HS,1256.0,41.7
17031010701,609678,JONES HS,1276.0,56.0
17031010701,609726,BROOKS HS,1111.0,98.5
17031010701,609694,HANCOCK HS,1078.0,94.3
17031010701,609693,WESTINGHOUSE HS,1005.0,71.4
17031010701,609751,KING HS,939.0,88.8
17031010701,610547,SOUTH SHORE INTL HS,901.0,84.6
17031010701,610391,LINDBLOM HS,1046.0,96.2
17031010701,609755,YOUNG HS,1297.0,76.7
17031010702,609680,PAYTON HS,1334.0,50.8
17031010702,609694,HANCOCK HS,1078.0,90.2
